Priority,Leadership_Principle,Company,Question,STAR_Focus
1,Customer Obsession,Amazon,Tell me about a time you went above and beyond for a customer.,Result - measurable customer impact
1,Customer Obsession,Amazon,Describe a situation where you had to balance customer needs with business constraints.,Action - trade-off decision making
1,Customer Obsession,Amazon,Give an example of when you used customer feedback to drive a change in your product or process.,Action - feedback loop implementation
1,Customer Obsession,Amazon,Tell me about a time you had to say no to a customer. How did you handle it?,Action - communication and empathy
1,Customer Obsession,Amazon,Describe a time when you anticipated a customer need before they raised it.,Situation - proactive thinking
1,Ownership,Amazon,Tell me about a time you took on something significant outside your area of responsibility.,Action - initiative and scope expansion
1,Ownership,Amazon,Describe a situation where you saw a problem and took it upon yourself to fix it without being asked.,Situation - self-driven initiative
1,Ownership,Amazon,Give me an example of when you sacrificed short-term gains for long-term value.,Result - long-term thinking
1,Ownership,Amazon,Tell me about a time you had to make an unpopular decision because it was the right thing to do.,Action - conviction and courage
1,Ownership,Amazon,Describe a project where you owned the outcome end-to-end from ideation to delivery.,Task - full ownership scope
1,Invent and Simplify,Amazon,Tell me about a time you found a simple solution to a complex problem.,Action - simplification approach
1,Invent and Simplify,Amazon,Describe an innovative approach you took that was different from what others had tried.,Action - creative problem solving
1,Invent and Simplify,Amazon,Give me an example of when you challenged the status quo and introduced a new way of doing things.,Situation - identifying inefficiency
1,Invent and Simplify,Amazon,Tell me about a time you automated a manual process.,Result - efficiency gains
1,Invent and Simplify,Amazon,Describe a situation where you had to simplify something that had become overly complex over time.,Action - removing complexity
1,Are Right A Lot,Amazon,Tell me about a time you made a decision with incomplete data. What was your approach?,Action - decision-making framework
1,Are Right A Lot,Amazon,Describe a situation where you had to change your mind based on new information.,Action - intellectual humility
1,Are Right A Lot,Amazon,Give me an example of when your judgment was wrong. What did you learn?,Result - learning and growth
1,Are Right A Lot,Amazon,Tell me about a time you had to convince others that your approach was correct despite resistance.,Action - persuasion with data
1,Are Right A Lot,Amazon,Describe a time when you had strong instincts about something that turned out to be right.,Situation - pattern recognition
1,Learn and Be Curious,Amazon,Tell me about a time you learned a new technology or skill to solve a problem.,Action - self-directed learning
1,Learn and Be Curious,Amazon,Describe a situation where your curiosity led to a significant improvement.,Result - curiosity-driven impact
1,Learn and Be Curious,Amazon,Give me an example of when you explored something outside your comfort zone professionally.,Action - growth mindset
1,Learn and Be Curious,Amazon,Tell me about a time you had to quickly ramp up on a domain you knew nothing about.,Task - rapid learning under pressure
1,Learn and Be Curious,Amazon,Describe how you stay current with technology trends and apply them in your work.,Action - continuous learning habits
1,Hire and Develop the Best,Amazon,Tell me about a time you mentored someone and helped them grow in their career.,Action - mentoring approach
1,Hire and Develop the Best,Amazon,Describe a situation where you had to give difficult feedback to a team member.,Action - constructive feedback delivery
1,Hire and Develop the Best,Amazon,Give me an example of when you recognized talent in someone that others overlooked.,Situation - talent identification
1,Hire and Develop the Best,Amazon,Tell me about a time you raised the performance bar for your team.,Result - team performance uplift
1,Hire and Develop the Best,Amazon,Describe a hiring decision you made. What criteria did you prioritize and why?,Action - hiring judgment
1,Insist on the Highest Standards,Amazon,Tell me about a time you refused to compromise on quality despite pressure to ship faster.,Action - quality vs speed trade-off
