Priority,Company,Question,Scale_Requirements,Key_Components,LP_Hints
1,Amazon/Meta,Design Instagram - photo upload and news feed system,"500M DAU, 100M uploads/day, sub-200ms feed load","Blob Storage (S3), CDN, Metadata DB, Feed Service, Cache (Redis), Message Queue","Customer Obsession (feed relevance), Invent and Simplify (efficient storage), Think Big (global scale)"
1,Amazon/Google,Design a URL shortening service like bit.ly or TinyURL,"1B URLs, 100K reads/sec, 1K writes/sec","Hashing/Base62 encoding, Key-Value Store, Cache, Analytics Service, Rate Limiter","Frugality (minimal storage), Bias for Action (simple MVP), Dive Deep (collision handling)"
1,Google/Meta,Design a real-time chat messaging system like WhatsApp or Slack,"10M concurrent users, 1B messages/day, message ordering guarantees","WebSocket Gateway, Message Queue (Kafka), Chat Storage, Presence Service, Push Notification Service","Customer Obsession (delivery guarantees), Insist on Highest Standards (ordering/consistency), Deliver Results (reliability)"
1,Amazon/Netflix,Design a video streaming platform like Netflix or YouTube,"500M users, 500 hours uploaded/min, adaptive bitrate","Transcoding Pipeline, CDN, Object Storage, Metadata DB, Recommendation Engine, DRM","Think Big (global CDN), Invent and Simplify (adaptive streaming), Customer Obsession (buffering-free experience)"
1,Google,Design Google Search autocomplete / typeahead suggestion system,"10B queries/day, sub-100ms latency, personalized","Trie/Prefix Tree, Distributed Cache, Ranking Service, Data Collection Pipeline, Zookeeper","Dive Deep (ranking algorithm), Customer Obsession (relevance), Bias for Action (low latency)"
1,Amazon,Design an e-commerce platform like Amazon product search and checkout,"100M products, 50K orders/sec during peak, inventory consistency","Search Service (Elasticsearch), Product Catalog, Cart Service, Order Service, Payment Gateway, Inventory (distributed lock)","Deliver Results (checkout reliability), Customer Obsession (search relevance), Insist on Highest Standards (payment security)"
1,Uber/Lyft,Design a ride-sharing service like Uber - matching riders to drivers,"1M concurrent rides, real-time location, ETA calculation","Location Service, Matching Algorithm, Geospatial Index (Quadtree/Geohash), Pricing Engine, Trip Service, Payment","Bias for Action (real-time matching), Think Big (city-scale), Invent and Simplify (efficient geo-matching)"
1,Twitter/X,Design Twitter - tweet posting and timeline/feed generation,"500M users, 100K tweets/sec, celebrity fan-out problem","Tweet Storage, Fan-out Service (push vs pull hybrid), Timeline Cache, Search Index, Notification Service","Think Big (fan-out at scale), Are Right A Lot (push vs pull trade-off), Dive Deep (celebrity problem)"
1,Google,Design Google Maps - navigation and real-time traffic,"1B users, real-time traffic updates, offline support","Graph Database (road network), Dijkstra/A* routing, Traffic Ingestion Pipeline, Tile Server, Geocoding Service","Invent and Simplify (efficient routing), Customer Obsession (accuracy), Learn and Be Curious (ML traffic prediction)"
1,Meta,Design Facebook Messenger - end-to-end encrypted messaging,"2B users, E2E encryption, multi-device sync","Signal Protocol (E2E), Message Queue, Key Exchange Service, Sync Service, Media Storage","Insist on Highest Standards (encryption), Customer Obsession (multi-device), Earn Trust (privacy)"
