Rank,Question,Category,Difficulty,LeetCode_Link,IdealTimeComplexity,FollowUp,Company
1,Two Sum,Array / Hashing,Easy,https://leetcode.com/problems/two-sum/,O(n),What if array is sorted? Can you do O(1) space?,"Amazon, Google, Meta, Microsoft, Apple"
2,Longest Substring Without Repeating Characters,Sliding Window / String,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/,O(n),How would you handle Unicode characters?,"Amazon, Google, Meta, Bloomberg"
3,Maximum Subarray,Dynamic Programming,Medium,https://leetcode.com/problems/maximum-subarray/,O(n),Can you also return the subarray indices?,"Amazon, Google, Microsoft, Apple"
4,Trapping Rain Water,Two Pointers / Stack,Hard,https://leetcode.com/problems/trapping-rain-water/,O(n),Can you solve it using a stack instead?,"Amazon, Google, Meta, Goldman Sachs"
5,Best Time to Buy and Sell Stock,Greedy / DP,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,O(n),What if multiple transactions are allowed?,"Amazon, Google, Meta, Microsoft"
6,Add Two Numbers,Linked List,Medium,https://leetcode.com/problems/add-two-numbers/,O(n),How to handle very large inputs?,"Amazon, Google, Meta, Microsoft"
7,3Sum,Two Pointers / Sorting,Medium,https://leetcode.com/problems/3sum/,O(n^2),How would you generalize to k-Sum?,"Amazon, Google, Meta, Bloomberg"
8,Longest Palindromic Substring,String / DP,Medium,https://leetcode.com/problems/longest-palindromic-substring/,O(n^2),Can you optimize using Manacher's algorithm?,"Amazon, Google, Microsoft"
9,Container With Most Water,Two Pointers,Medium,https://leetcode.com/problems/container-with-most-water/,O(n),Why does moving shorter pointer work?,"Amazon, Google, Meta"
10,Median of Two Sorted Arrays,Binary Search,Hard,https://leetcode.com/problems/median-of-two-sorted-arrays/,"O(log(min(n,m)))",Can you derive the partition logic?,"Amazon, Google, Apple"
11,Search in Rotated Sorted Array,Binary Search,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/,O(log n),What if duplicates exist?,"Amazon, Google, Meta, Microsoft"
12,Valid Parentheses,Stack,Easy,https://leetcode.com/problems/valid-parentheses/,O(n),How would you extend to multiple bracket types?,"Amazon, Google, Meta, Bloomberg"
13,Number of Islands,Graph / DFS-BFS,Medium,https://leetcode.com/problems/number-of-islands/,O(m*n),How to solve using Union-Find?,"Amazon, Google, Meta, Microsoft"
14,Merge Intervals,Sorting / Greedy,Medium,https://leetcode.com/problems/merge-intervals/,O(n log n),How to handle interval insertion?,"Amazon, Google, Meta, Microsoft"
15,Product of Array Except Self,Array,Medium,https://leetcode.com/problems/product-of-array-except-self/,O(n),Can you do it without division?,"Amazon, Google, Meta, Apple"
16,LRU Cache,Design,Medium,https://leetcode.com/problems/lru-cache/,O(1),Implement without OrderedDict?,"Amazon, Google, Meta, Microsoft"
17,Course Schedule,Graph / Topological Sort,Medium,https://leetcode.com/problems/course-schedule/,O(V+E),Return actual order?,"Amazon, Google, Meta"
18,Binary Tree Maximum Path Sum,Tree / DFS,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/,O(n),What about leaf-to-leaf constraint?,"Amazon, Google, Meta, Microsoft"
19,Coin Change,Dynamic Programming,Medium,https://leetcode.com/problems/coin-change/,O(amount*n),Return actual coins used?,"Amazon, Google, Microsoft"
20,Word Break,Dynamic Programming,Medium,https://leetcode.com/problems/word-break/,O(n^2),Return all possible segmentations?,"Amazon, Google, Meta, Microsoft"
21,Merge Two Sorted Lists,Linked List,Easy,https://leetcode.com/problems/merge-two-sorted-lists/,O(n+m),How would you merge k sorted lists?,"Amazon, Google, Microsoft, Apple"
22,Reverse Linked List,Linked List,Easy,https://leetcode.com/problems/reverse-linked-list/,O(n),Can you do it recursively and iteratively?,"Amazon, Google, Meta, Microsoft"
23,Group Anagrams,Array / Hashing,Medium,https://leetcode.com/problems/group-anagrams/,O(n*k),What if strings are very long?,"Amazon, Google, Meta, Bloomberg"
24,Climbing Stairs,Dynamic Programming,Easy,https://leetcode.com/problems/climbing-stairs/,O(n),What if you can take up to k steps?,"Amazon, Google, Apple"
25,Binary Search,Binary Search,Easy,https://leetcode.com/problems/binary-search/,O(log n),Find first/last occurrence of target?,"Amazon, Google, Microsoft"
26,Linked List Cycle,Linked List,Easy,https://leetcode.com/problems/linked-list-cycle/,O(n),Find the starting node of the cycle?,"Amazon, Google, Microsoft"
27,Min Stack,Stack / Design,Medium,https://leetcode.com/problems/min-stack/,O(1),How would you implement a max stack?,"Amazon, Google, Bloomberg"
28,Rotate Image,Array / Matrix,Medium,https://leetcode.com/problems/rotate-image/,O(n^2),Can you rotate by 90/180/270 degrees?,"Amazon, Google, Microsoft"
29,Spiral Matrix,Array / Matrix,Medium,https://leetcode.com/problems/spiral-matrix/,O(m*n),How would you generate a spiral matrix?,"Amazon, Google, Meta"
30,Word Search,Backtracking / DFS,Medium,https://leetcode.com/problems/word-search/,O(m*n*4^L),How would you optimize with a Trie?,"Amazon, Google, Meta, Microsoft"
31,Serialize and Deserialize Binary Tree,Tree / Design,Hard,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,O(n),How would you handle N-ary trees?,"Amazon, Google, Meta, Microsoft"
32,Find Median from Data Stream,Heap / Design,Hard,https://leetcode.com/problems/find-median-from-data-stream/,O(log n),How to handle sliding window median?,"Amazon, Google, Meta, Microsoft"
33,Kth Largest Element in an Array,Heap / Quickselect,Medium,https://leetcode.com/problems/kth-largest-element-in-an-array/,O(n) avg,What is the worst case and how to avoid it?,"Amazon, Google, Meta"
34,Top K Frequent Elements,Heap / Hashing,Medium,https://leetcode.com/problems/top-k-frequent-elements/,O(n),Can you solve it in O(n) using bucket sort?,"Amazon, Google, Meta"
35,Validate Binary Search Tree,Tree / DFS,Medium,https://leetcode.com/problems/validate-binary-search-tree/,O(n),What about duplicate values?,"Amazon, Google, Meta, Microsoft"
36,Lowest Common Ancestor of BST,Tree,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,O(h),What if it's not a BST?,"Amazon, Google, Meta"
37,Implement Trie (Prefix Tree),Trie / Design,Medium,https://leetcode.com/problems/implement-trie-prefix-tree/,O(m),How would you support wildcard search?,"Amazon, Google, Meta"
38,Clone Graph,Graph / DFS-BFS,Medium,https://leetcode.com/problems/clone-graph/,O(V+E),How to handle cycles during cloning?,"Amazon, Google, Meta"
39,Pacific Atlantic Water Flow,Graph / DFS-BFS,Medium,https://leetcode.com/problems/pacific-atlantic-water-flow/,O(m*n),Can you optimize space complexity?,"Amazon, Google"
40,Combination Sum,Backtracking,Medium,https://leetcode.com/problems/combination-sum/,O(n^target),How to handle duplicates in input?,"Amazon, Google, Meta"
41,Subsets,Backtracking,Medium,https://leetcode.com/problems/subsets/,O(2^n),How to handle duplicates?,"Amazon, Google, Meta"
42,Permutations,Backtracking,Medium,https://leetcode.com/problems/permutations/,O(n!),How to handle duplicates?,"Amazon, Google, Meta"
43,Letter Combinations of a Phone Number,Backtracking,Medium,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,O(4^n),How to handle very long inputs?,"Amazon, Google, Meta"
44,House Robber,Dynamic Programming,Medium,https://leetcode.com/problems/house-robber/,O(n),What if houses are in a circle?,"Amazon, Google, Microsoft"
45,Longest Common Subsequence,Dynamic Programming,Medium,https://leetcode.com/problems/longest-common-subsequence/,O(m*n),Can you reconstruct the actual subsequence?,"Amazon, Google, Microsoft"
46,Unique Paths,Dynamic Programming,Medium,https://leetcode.com/problems/unique-paths/,O(m*n),What if there are obstacles?,"Amazon, Google, Meta"
